source,target,friendship
19659370,18932422,Both
19659370,132646210,Both
19659370,15750573,TargetToSource
19659370,1425336134,TargetToSource
19659370,918943909811769344,TargetToSource
19659370,125483940,TargetToSource
19659370,890413838578966528,TargetToSource
19659370,21133730,Both
19659370,1196193239713353732,TargetToSource
19659370,58880930,Both
19659370,1206594224537448449,TargetToSource
19659370,1265795638551212032,TargetToSource
19659370,1214864022572425217,TargetToSource
19659370,242868086,SourceToTarget
19659370,327122348,SourceToTarget
19659370,101045085,TargetToSource
19659370,1195040516318093312,SourceToTarget
19659370,54875928,Both
19659370,15159648,SourceToTarget
19659370,20499721,SourceToTarget
19659370,1339637532,Both
19659370,103546343,Both
19659370,1168865024674357248,TargetToSource
19659370,467551928,SourceToTarget
19659370,48008938,SourceToTarget
19659370,216939636,SourceToTarget
19659370,2190533245,Both
19659370,939091,SourceToTarget
19659370,49793,SourceToTarget
19659370,8143682,SourceToTarget
19659370,799830497065050112,SourceToTarget
19659370,840618056678293504,SourceToTarget
19659370,1276832114856656896,TargetToSource
19659370,18202677,SourceToTarget
19659370,48677032,SourceToTarget
19659370,1556357336,TargetToSource
19659370,18417153,Both
19659370,1182908622113660929,TargetToSource
19659370,301178769,TargetToSource
19659370,702309206,TargetToSource
19659370,33970089,SourceToTarget
19659370,15455450,Both
19659370,251614179,TargetToSource
19659370,6355402,Both
19659370,906922846412267521,TargetToSource
19659370,3128829965,SourceToTarget
19659370,1111730640762875907,SourceToTarget
19659370,1155634482629791746,TargetToSource
19659370,743908703863083008,TargetToSource
19659370,305474242,Both
19659370,234321271,Both
19659370,320568816,TargetToSource
19659370,78269677,Both
19659370,17018894,TargetToSource
19659370,22132438,TargetToSource
19659370,1014561,Both
19659370,1101500498564313090,SourceToTarget
19659370,82774113,TargetToSource
19659370,59217922,Both
19659370,224209816,TargetToSource
19659370,40576466,Both
19659370,78969930,Both
19659370,2165646554,Both
19659370,130671142,Both
19659370,1019221160742014976,Both
19659370,2336440088,TargetToSource
19659370,947311503216066560,Both
19659370,53250831,TargetToSource
19659370,2309104237,TargetToSource
19659370,3332231,TargetToSource
19659370,994886035086761984,TargetToSource
19659370,920700510306529280,TargetToSource
19659370,934851466082357249,TargetToSource
19659370,885944485615738881,TargetToSource
19659370,923649456981135367,TargetToSource
19659370,269930404,TargetToSource
19659370,94732055,TargetToSource
19659370,1598324696,SourceToTarget
19659370,78269397,Both
19659370,14451127,Both
19659370,341000847,Both
19659370,66722583,Both
19659370,3102522680,Both
19659370,771681197781053440,TargetToSource
19659370,810893744593584128,TargetToSource
19659370,4874161629,TargetToSource
19659370,1053292116,TargetToSource
19659370,1086604922,SourceToTarget
19659370,16549460,SourceToTarget
19659370,356775978,Both
19659370,717348489215262724,TargetToSource
19659370,273561140,Both
19659370,127894322,SourceToTarget
19659370,39697728,Both
19659370,2601589496,Both
19659370,4829277184,TargetToSource
19659370,202853969,TargetToSource
19659370,2218900633,SourceToTarget
19659370,1851621,TargetToSource
19659370,21192987,Both
19659370,16136933,Both
19659370,427431943,TargetToSource
19659370,25134469,Both
19659370,201275909,TargetToSource
19659370,3946229836,TargetToSource
19659370,3916694415,TargetToSource
19659370,384127183,Both
19659370,400804254,TargetToSource
19659370,3041372326,Both
19659370,485865743,Both
19659370,3364147025,TargetToSource
19659370,607311335,TargetToSource
19659370,16868154,Both
19659370,92071137,Both
19659370,391867472,Both
19659370,217377296,Both
19659370,1494913634,TargetToSource
19659370,264132382,Both
19659370,338989477,TargetToSource
19659370,2475224005,Both
19659370,544737616,Both
19659370,99015174,Both
19659370,144779689,TargetToSource
19659370,44973000,SourceToTarget
19659370,337745478,TargetToSource
19659370,784824594,TargetToSource
19659370,17580853,SourceToTarget
19659370,25481069,Both
19659370,606265290,TargetToSource
19659370,17773969,SourceToTarget
19659370,115091858,SourceToTarget
19659370,17743823,TargetToSource
19659370,147949965,TargetToSource
19659370,201194687,SourceToTarget
19659370,146195370,Both
19659370,393675585,Both
19659370,249661913,TargetToSource
19659370,1855871,SourceToTarget
19659370,73001375,TargetToSource
19659370,333597222,Both
19659370,569203915,TargetToSource
19659370,877108837475655680,TargetToSource
19659370,51934480,TargetToSource
19659370,2807461219,Both
19659370,268025507,Both
19659370,249255635,Both
19659370,13284672,Both
19659370,373974821,Both
19659370,117712651,Both
19659370,464868829,TargetToSource
19659370,16925097,TargetToSource
19659370,1145584490594443264,Both
19659370,1071412460,TargetToSource
19659370,248064213,TargetToSource
19659370,47987831,TargetToSource
19659370,277298681,Both
19659370,2577967370,Both
19659370,1301154075434606598,TargetToSource
19659370,581406453,Both
19659370,3279064394,TargetToSource
19659370,1297170244658552838,TargetToSource
19659370,1296322367053082624,TargetToSource
19659370,1030464891830902784,TargetToSource
19659370,352650313,TargetToSource
19659370,2301908191,TargetToSource
19659370,72102865,TargetToSource
19659370,966024156574662656,TargetToSource
19659370,248721193,TargetToSource
19659370,833597084167122945,TargetToSource
19659370,761072228028911618,TargetToSource
19659370,2166763549,TargetToSource
19659370,1061582051449557003,TargetToSource
19659370,4042462396,Both
19659370,2877993331,Both
19659370,157238371,TargetToSource
19659370,35749835,TargetToSource
19659370,16621479,TargetToSource
19659370,1898912480,TargetToSource
19659370,2278288488,TargetToSource
19659370,158297618,TargetToSource
19659370,49719781,Both
19659370,219728708,TargetToSource
19659370,2427769760,TargetToSource
19659370,1189525564715089920,Both
19659370,383365753,TargetToSource
19659370,1106015165969924096,Both
19659370,78807415,Both
19659370,2527017636,TargetToSource
19659370,17015268,Both
19659370,2576448008,TargetToSource
19659370,1004448369140551682,Both
19659370,77200220,Both
19659370,19690273,Both
19659370,3257676018,TargetToSource
19659370,2903217440,TargetToSource
19659370,49556240,TargetToSource
19659370,53079180,Both
19659370,2409117643,TargetToSource
19659370,977585064,Both
19659370,1162690737516863494,TargetToSource
19659370,17465774,TargetToSource
19659370,1222193343737794560,TargetToSource
19659370,1040124415151726592,TargetToSource
19659370,111801456,Both
19659370,1140163756267192321,TargetToSource
19659370,17383073,Both
19659370,4831430475,TargetToSource
19659370,1211825303388995584,TargetToSource
19659370,1228726773078208512,TargetToSource
19659370,1136467769199910912,TargetToSource
19659370,1230692054092529664,TargetToSource
19659370,34999723,TargetToSource
19659370,179571184,TargetToSource
19659370,1640671358,TargetToSource
19659370,338526004,TargetToSource
19659370,252411935,TargetToSource
19659370,803909558431313920,TargetToSource
19659370,18728897,Both
19659370,1187226845155999749,TargetToSource
19659370,1174325520294715392,TargetToSource
19659370,1734575215,Both
19659370,605027292,Both
19659370,48354997,TargetToSource
19659370,253609062,TargetToSource
19659370,22826489,Both
19659370,119459238,TargetToSource
19659370,3075691,Both
19659370,1077070220332740608,TargetToSource
19659370,1190682302977859584,TargetToSource
19659370,308843719,TargetToSource
19659370,2832694608,TargetToSource
19659370,116897811,TargetToSource
19659370,826837132325027841,TargetToSource
19659370,1284042607,Both
19659370,477030336,Both
19659370,938473643373481985,Both
19659370,801934486023782400,TargetToSource
19659370,7295362,Both
19659370,30420908,TargetToSource
19659370,434236851,Both
19659370,1124623431377543169,TargetToSource
19659370,386277982,Both
19659370,465693357,TargetToSource
